,MLR_ALL,MLR_Ridge,MLR_Lasso,MLR_ElasticNet
913,Poor,Poor,Poor,Poor
1078,Poor,Poor,Poor,Poor
1130,Mediocre,Mediocre,Mediocre,Mediocre
378,Acceptable,Acceptable,Acceptable,Acceptable
1052,Poor,Poor,Poor,Poor
420,Good,Good,Acceptable,Acceptable
248,Mediocre,Mediocre,Mediocre,Mediocre
605,Poor,Poor,Poor,Poor
553,Mediocre,Mediocre,Mediocre,Mediocre
1281,Good,Good,Good,Good
765,Poor,Poor,Poor,Poor
1339,Acceptable,Acceptable,Acceptable,Acceptable
72,Acceptable,Acceptable,Acceptable,Good
1278,Good,Good,Good,Good
1394,Mediocre,Mediocre,Mediocre,Mediocre
588,Poor,Poor,Poor,Poor
681,Acceptable,Acceptable,Acceptable,Acceptable
661,Poor,Poor,Poor,Poor
1104,Poor,Poor,Poor,Poor
400,Acceptable,Acceptable,Acceptable,Acceptable
1192,Mediocre,Mediocre,Mediocre,Mediocre
704,Mediocre,Mediocre,Mediocre,Mediocre
1429,Mediocre,Mediocre,Mediocre,Mediocre
256,Acceptable,Acceptable,Acceptable,Acceptable
1421,Mediocre,Mediocre,Mediocre,Mediocre
541,Good,Good,Good,Good
1355,Acceptable,Acceptable,Acceptable,Acceptable
626,Poor,Poor,Poor,Poor
1269,Acceptable,Acceptable,Acceptable,Acceptable
1218,Mediocre,Mediocre,Mediocre,Mediocre
453,Acceptable,Acceptable,Acceptable,Acceptable
1321,Good,Good,Good,Good
117,Acceptable,Acceptable,Acceptable,Acceptable
1086,Mediocre,Mediocre,Mediocre,Mediocre
1058,Poor,Poor,Poor,Poor
1328,Acceptable,Acceptable,Acceptable,Good
1176,Mediocre,Mediocre,Mediocre,Mediocre
234,Acceptable,Acceptable,Acceptable,Acceptable
804,Poor,Poor,Poor,Poor
839,Acceptable,Acceptable,Acceptable,Acceptable
742,Poor,Poor,Poor,Poor
878,Acceptable,Acceptable,Acceptable,Acceptable
1425,Mediocre,Mediocre,Mediocre,Mediocre
124,Acceptable,Acceptable,Acceptable,Acceptable
695,Mediocre,Mediocre,Mediocre,Mediocre
915,Poor,Poor,Poor,Poor
1071,Poor,Poor,Poor,Poor
1382,Good,Good,Good,Good
62,Acceptable,Acceptable,Good,Good
154,Acceptable,Acceptable,Acceptable,Acceptable
970,Poor,Poor,Poor,Poor
1123,Poor,Poor,Poor,Poor
317,Good,Good,Acceptable,Acceptable
1073,Poor,Poor,Poor,Poor
9,Good,Good,Good,Good
887,Mediocre,Mediocre,Mediocre,Mediocre
359,Acceptable,Acceptable,Acceptable,Acceptable
534,Acceptable,Acceptable,Acceptable,Acceptable
343,Acceptable,Acceptable,Acceptable,Acceptable
610,Bad,Bad,Poor,Poor
842,Mediocre,Mediocre,Mediocre,Mediocre
377,Good,Good,Good,Good
1333,Acceptable,Acceptable,Acceptable,Acceptable
1150,Poor,Poor,Poor,Mediocre
945,Poor,Poor,Poor,Poor
982,Poor,Bad,Poor,Poor
1311,,,,
802,Poor,Poor,Poor,Poor
1228,Mediocre,Mediocre,Mediocre,Mediocre
1220,Mediocre,Mediocre,Mediocre,Mediocre
381,Acceptable,Acceptable,Acceptable,Acceptable
251,Mediocre,Mediocre,Mediocre,Mediocre
1183,Mediocre,Mediocre,Mediocre,Mediocre
519,Acceptable,Acceptable,Acceptable,Acceptable
1297,,,,Good
764,Poor,Poor,Poor,Poor
675,Mediocre,Mediocre,Mediocre,Mediocre
1152,Mediocre,Mediocre,Mediocre,Mediocre
16,Good,Good,Good,Good
875,Mediocre,Mediocre,Mediocre,Mediocre
797,Poor,Poor,Poor,Poor
1049,Mediocre,Mediocre,Mediocre,Mediocre
96,Acceptable,Acceptable,Acceptable,Acceptable
1316,,,Good,Good
310,Acceptable,Acceptable,Acceptable,Acceptable
334,Acceptable,Acceptable,Acceptable,Acceptable
698,Poor,Poor,Poor,Poor
1384,Acceptable,Acceptable,Good,Good
762,Poor,Poor,Poor,Poor
431,Acceptable,Acceptable,Acceptable,Good
816,Poor,Poor,Poor,Poor
483,Acceptable,Acceptable,Acceptable,Acceptable
911,Poor,Poor,Poor,Poor
775,Poor,Poor,Poor,Poor
97,Acceptable,Acceptable,Acceptable,Acceptable
563,Mediocre,Mediocre,Mediocre,Mediocre
962,Poor,Poor,Poor,Poor
740,Poor,Poor,Poor,Poor
208,Good,Good,Good,Good
792,Poor,Poor,Poor,Poor
113,Acceptable,Acceptable,Acceptable,Acceptable
851,Mediocre,Mediocre,Mediocre,Mediocre
27,Good,Good,Good,Good
1405,Mediocre,Mediocre,Mediocre,Mediocre
467,Acceptable,Acceptable,Acceptable,Acceptable
474,Good,Good,Good,Good
1309,,,,
106,Acceptable,Acceptable,Acceptable,Acceptable
186,Acceptable,Acceptable,Acceptable,Acceptable
1360,Acceptable,Acceptable,Acceptable,Good
442,Acceptable,Acceptable,Acceptable,Acceptable
38,Good,Good,,
644,Poor,Poor,Poor,Poor
1245,Mediocre,Mediocre,Mediocre,Mediocre
990,Mediocre,Mediocre,Mediocre,Mediocre
148,Acceptable,Acceptable,Acceptable,Acceptable
1174,Mediocre,Mediocre,Mediocre,Mediocre
319,Good,Good,Acceptable,Good
960,Poor,Poor,Poor,Poor
525,Acceptable,Acceptable,Acceptable,Acceptable
877,Mediocre,Mediocre,Mediocre,Mediocre
778,Poor,Poor,Poor,Bad
963,Poor,Poor,Poor,Poor
895,Mediocre,Mediocre,Mediocre,Mediocre
908,Poor,Poor,Poor,Poor
1114,Poor,Poor,Poor,Poor
390,Acceptable,Acceptable,Good,Good
1349,Acceptable,Acceptable,Acceptable,Acceptable
222,Good,Good,Good,Good
920,Poor,Poor,Poor,Poor
966,Mediocre,Mediocre,Mediocre,Mediocre
1045,Mediocre,Mediocre,Mediocre,Mediocre
236,Acceptable,Acceptable,Acceptable,Acceptable
1006,Poor,Poor,Poor,Poor
210,Good,Good,Good,Good
1344,Acceptable,Acceptable,Acceptable,Acceptable
690,Mediocre,Mediocre,Mediocre,Acceptable
1345,Mediocre,Mediocre,Mediocre,Mediocre
374,Good,Good,Good,Good
18,Good,Good,Good,Good
240,Mediocre,Mediocre,Acceptable,Acceptable
940,Poor,Poor,Poor,Poor
942,Mediocre,Mediocre,Mediocre,Mediocre
523,Acceptable,Acceptable,Acceptable,Acceptable
509,Acceptable,Acceptable,Acceptable,Acceptable
753,Poor,Poor,Poor,Poor
94,Acceptable,Acceptable,Acceptable,Acceptable
455,Acceptable,Acceptable,Acceptable,Acceptable
1188,Mediocre,Mediocre,Mediocre,Mediocre
566,Acceptable,Acceptable,Acceptable,Acceptable
3,Good,Good,Good,Good
323,Acceptable,Acceptable,Acceptable,Acceptable
1303,,,,
231,Good,Good,Good,Good
262,Mediocre,Mediocre,Mediocre,Mediocre
798,Mediocre,Mediocre,Mediocre,Mediocre
342,Acceptable,Acceptable,Acceptable,Mediocre
153,Acceptable,Acceptable,Acceptable,Acceptable
643,Poor,Poor,Poor,Poor
447,Acceptable,Acceptable,Acceptable,Acceptable
882,Mediocre,Mediocre,Mediocre,Mediocre
6,Good,Good,Good,Good
668,Poor,Poor,Poor,Poor
366,Acceptable,Acceptable,Acceptable,Acceptable
443,Acceptable,Acceptable,Acceptable,Acceptable
354,Acceptable,Acceptable,Acceptable,Acceptable
224,Acceptable,Acceptable,Acceptable,Acceptable
479,Acceptable,Acceptable,Acceptable,Acceptable
1383,Good,Good,Good,Good
1213,Mediocre,Mediocre,Mediocre,Mediocre
376,Good,Good,Good,Good
849,Mediocre,Mediocre,Mediocre,Mediocre
24,Good,Good,Good,Good
1235,Mediocre,Mediocre,Mediocre,Mediocre
284,Mediocre,Mediocre,Mediocre,Mediocre
967,Mediocre,Mediocre,Mediocre,Mediocre
1319,Good,Good,Good,Good
713,Mediocre,Mediocre,Mediocre,Mediocre
490,Acceptable,Acceptable,Acceptable,Acceptable
507,Acceptable,Acceptable,Acceptable,Acceptable
1089,Poor,Poor,Poor,Poor
733,Mediocre,Mediocre,Mediocre,Mediocre
1157,Mediocre,Mediocre,Mediocre,Mediocre
881,Mediocre,Mediocre,Mediocre,Mediocre
1330,Acceptable,Acceptable,Acceptable,Acceptable
1144,Mediocre,Mediocre,Mediocre,Mediocre
688,Mediocre,Mediocre,Acceptable,Acceptable
904,Mediocre,Mediocre,Mediocre,Mediocre
336,Acceptable,Acceptable,Acceptable,Acceptable
953,Poor,Poor,Poor,Poor
1211,Mediocre,Mediocre,Mediocre,Mediocre
827,Mediocre,Mediocre,Mediocre,Mediocre
91,Acceptable,Acceptable,Acceptable,Acceptable
738,Mediocre,Mediocre,Mediocre,Mediocre
314,Acceptable,Acceptable,Acceptable,Acceptable
411,Acceptable,Acceptable,Acceptable,Acceptable
1173,Poor,Poor,Poor,Poor
989,Poor,Poor,Poor,Poor
494,Acceptable,Acceptable,Acceptable,Acceptable
412,Acceptable,Acceptable,Acceptable,Acceptable
606,Poor,Poor,Poor,Poor
597,Poor,Poor,Poor,Poor
309,Acceptable,Acceptable,Acceptable,Acceptable
41,Good,Good,Good,Good
1136,Acceptable,Acceptable,Acceptable,Acceptable
732,Poor,Poor,Poor,Poor
572,Mediocre,Mediocre,Mediocre,Mediocre
1286,Good,Good,Good,Good
1138,Mediocre,Mediocre,Mediocre,Mediocre
1142,Mediocre,Mediocre,Mediocre,Mediocre
560,Mediocre,Mediocre,Mediocre,Mediocre
335,Acceptable,Acceptable,Acceptable,Acceptable
1012,Poor,Poor,Poor,Poor
803,Poor,Poor,Poor,Poor
1409,Mediocre,Mediocre,Mediocre,Mediocre
691,Acceptable,Acceptable,Acceptable,Acceptable
710,Acceptable,Acceptable,Acceptable,Acceptable
172,Good,Good,Good,Good
1113,Mediocre,Mediocre,Mediocre,Mediocre
1285,Good,Good,Good,Good
1079,Poor,Poor,Poor,Poor
133,Acceptable,Acceptable,Acceptable,Acceptable
243,Mediocre,Mediocre,Acceptable,Acceptable
594,Mediocre,Mediocre,Mediocre,Mediocre
30,Good,Good,Good,Good
14,Good,Good,Good,Good
395,Acceptable,Acceptable,Acceptable,Acceptable
728,Poor,Poor,Poor,Poor
